plaque_immatriculation,origine,destination,date_heure_depart,duree_minutes,economie_co2_kg
VA-2024-001,Port de Sousse,Hôpital Universitaire,2025-11-16 09:25:25,35,2.96
VA-2024-001,Quartier Khezama,Centre Ville,2025-11-16 19:34:25,11,3.58
VA-2024-001,Campus Universitaire,Palais des Congrès,2025-11-16 18:25:25,34,1.29
VA-2024-001,Centre Ville,Hôpital Universitaire,2025-11-16 14:33:25,12,3.87
VA-2024-001,Gare Ferroviaire,Aéroport Monastir,2025-11-16 09:25:25,29,1.25
VA-2024-001,Port de Sousse,Zone Industrielle,2025-11-16 20:27:25,17,2.22
VA-2024-001,Gare Ferroviaire,Port de Sousse,2025-11-17 08:11:25,34,3.5
VA-2024-001,Place Farhat Hached,Palais des Congrès,2025-11-17 13:30:25,46,3.09
VA-2024-001,Aéroport Monastir,Quartier Khezama,2025-11-17 13:42:25,38,0.59
VA-2024-001,Hôpital Universitaire,Sousse Sud,2025-11-17 11:56:25,42,0.56
VA-2024-001,Sousse Sud,Corniche,2025-11-17 13:33:25,21,1.62
VA-2024-001,Stade Olympique,Quartier Khezama,2025-11-17 14:49:25,21,0.9
VA-2024-001,Sousse Sud,Aéroport Monastir,2025-11-17 19:45:25,29,3.1
VA-2024-001,Gare Ferroviaire,Campus Universitaire,2025-11-17 13:05:25,21,3.7
VA-2024-001,Médina,Sousse Sud,2025-11-17 14:38:25,34,0.64
VA-2024-001,Médina,Stade Olympique,2025-11-17 17:33:25,46,0.71
VA-2024-001,Médina,Aéroport Monastir,2025-11-17 21:59:25,46,1.67
VA-2024-001,Sousse Sud,Place Farhat Hached,2025-11-17 06:06:25,39,0.62
VA-2024-001,Centre Ville,Sousse Sud,2025-11-18 13:42:25,20,0.28
VA-2024-001,Place Farhat Hached,Campus Universitaire,2025-11-18 19:19:25,13,1.74
VA-2024-001,Zone Industrielle,Sousse Sud,2025-11-18 11:45:25,35,1.67
VA-2024-001,Campus Universitaire,Corniche,2025-11-18 06:57:25,38,0.5
VA-2024-001,Palais des Congrès,Aéroport Monastir,2025-11-18 18:44:25,11,3.61
VA-2024-001,Stade Olympique,Sousse Nord,2025-11-18 13:44:25,27,3.14
VA-2024-001,Gare Ferroviaire,Port de Sousse,2025-11-19 20:10:25,42,3.45
VA-2024-001,Port de Sousse,Stade Olympique,2025-11-19 11:21:25,32,2.93
VA-2024-001,Port de Sousse,Gare Ferroviaire,2025-11-19 06:55:25,25,3.55
VA-2024-001,Palais des Congrès,Place Farhat Hached,2025-11-19 07:28:25,37,2.32
VA-2024-001,Gare Ferroviaire,Corniche,2025-11-19 10:59:25,27,2.97
VA-2024-001,Centre Ville,Corniche,2025-11-19 14:40:25,50,0.46
VA-2024-001,Médina,Quartier Khezama,2025-11-19 08:31:25,44,3.8
VA-2024-001,Hôpital Universitaire,Zone Industrielle,2025-11-19 10:37:25,37,2.07
VA-2024-001,Zone Industrielle,Médina,2025-11-19 06:23:25,16,1.55
VA-2024-001,Quartier Khezama,Campus Universitaire,2025-11-20 18:25:25,27,0.85
VA-2024-001,Quartier Khezama,Centre Ville,2025-11-20 15:14:25,12,2.38
VA-2024-001,Port de Sousse,Gare Ferroviaire,2025-11-20 09:08:25,40,2.59
VA-2024-001,Port de Sousse,Quartier Khezama,2025-11-20 22:36:25,40,3.47
VA-2024-001,Centre Ville,Place Farhat Hached,2025-11-20 15:49:25,35,0.35
VA-2024-001,Aéroport Monastir,Stade Olympique,2025-11-20 16:53:25,15,1.79
VA-2024-001,Quartier Khezama,Port de Sousse,2025-11-20 13:39:25,10,1.68
VA-2024-001,Centre Ville,Quartier Khezama,2025-11-21 20:02:25,31,2.35
VA-2024-001,Hôpital Universitaire,Sousse Nord,2025-11-21 18:33:25,27,1.05
VA-2024-001,Campus Universitaire,Sousse Nord,2025-11-21 06:30:25,47,0.96
VA-2024-001,Quartier Khezama,Campus Universitaire,2025-11-21 17:33:25,10,2.57
VA-2024-001,Médina,Gare Ferroviaire,2025-11-21 17:45:25,49,2.0
VA-2024-001,Aéroport Monastir,Sousse Nord,2025-11-21 15:42:25,30,0.67
VA-2024-001,Aéroport Monastir,Port de Sousse,2025-11-21 15:13:25,17,1.63
VA-2024-001,Stade Olympique,Palais des Congrès,2025-11-22 11:43:25,50,3.96
VA-2024-001,Sousse Nord,Aéroport Monastir,2025-11-22 21:06:25,35,1.6
VA-2024-001,Aéroport Monastir,Palais des Congrès,2025-11-22 18:32:25,18,3.46
VA-2024-001,Sousse Sud,Campus Universitaire,2025-11-22 08:14:25,16,0.47
VA-2024-001,Place Farhat Hached,Hôpital Universitaire,2025-11-22 07:05:25,46,1.93
VA-2024-001,Gare Ferroviaire,Palais des Congrès,2025-11-22 09:09:25,43,1.97
VA-2024-001,Corniche,Port de Sousse,2025-11-23 09:07:25,42,1.01
VA-2024-001,Corniche,Sousse Nord,2025-11-23 22:31:25,46,0.51
VA-2024-001,Place Farhat Hached,Palais des Congrès,2025-11-23 17:30:25,40,0.43
VA-2024-001,Corniche,Place Farhat Hached,2025-11-23 21:27:25,36,0.72
VA-2024-001,Quartier Khezama,Palais des Congrès,2025-11-23 09:08:25,23,3.5
VA-2024-001,Centre Ville,Corniche,2025-11-23 19:53:25,14,2.96
VA-2024-001,Sousse Nord,Port de Sousse,2025-11-23 06:51:25,15,2.31
VA-2024-001,Gare Ferroviaire,Campus Universitaire,2025-11-23 09:11:25,18,1.14
VA-2024-001,Corniche,Aéroport Monastir,2025-11-23 09:28:25,20,1.51
VA-2024-001,Zone Industrielle,Campus Universitaire,2025-11-23 08:23:25,19,1.53
VA-2024-001,Port de Sousse,Médina,2025-11-23 14:39:25,29,2.94
VA-2024-001,Gare Ferroviaire,Corniche,2025-11-23 21:14:25,15,4.25
VA-2024-001,Place Farhat Hached,Zone Industrielle,2025-11-24 18:41:25,48,1.22
VA-2024-001,Stade Olympique,Port de Sousse,2025-11-24 17:30:25,44,2.52
VA-2024-001,Quartier Khezama,Campus Universitaire,2025-11-24 12:40:25,19,0.92
VA-2024-001,Aéroport Monastir,Sousse Sud,2025-11-24 19:08:25,20,0.57
VA-2024-001,Centre Ville,Palais des Congrès,2025-11-24 09:44:25,12,2.13
VA-2024-001,Hôpital Universitaire,Médina,2025-11-24 17:57:25,43,1.18
VA-2024-001,Campus Universitaire,Centre Ville,2025-11-24 19:35:25,41,0.59
VA-2024-001,Stade Olympique,Sousse Sud,2025-11-24 16:29:25,18,0.96
VA-2024-001,Corniche,Place Farhat Hached,2025-11-24 13:37:25,38,3.28
VA-2024-001,Aéroport Monastir,Sousse Nord,2025-11-24 10:18:25,43,2.35
VA-2024-001,Médina,Sousse Nord,2025-11-24 15:43:25,11,1.99
VA-2024-001,Palais des Congrès,Hôpital Universitaire,2025-11-24 22:45:25,41,0.93
VA-2024-001,Palais des Congrès,Sousse Sud,2025-11-25 18:44:25,41,2.25
VA-2024-001,Gare Ferroviaire,Centre Ville,2025-11-25 22:29:25,32,3.73
VA-2024-001,Hôpital Universitaire,Aéroport Monastir,2025-11-25 22:46:25,31,2.5
VA-2024-001,Port de Sousse,Sousse Sud,2025-11-25 12:18:25,37,3.47
VA-2024-001,Médina,Sousse Sud,2025-11-25 20:12:25,43,0.89
VA-2024-001,Stade Olympique,Campus Universitaire,2025-11-25 16:35:25,47,2.88
VA-2024-001,Centre Ville,Corniche,2025-11-25 07:51:25,35,2.77
VA-2024-001,Quartier Khezama,Gare Ferroviaire,2025-11-25 13:35:25,48,1.8
VA-2024-001,Corniche,Place Farhat Hached,2025-11-25 14:51:25,40,0.77
VA-2024-001,Quartier Khezama,Gare Ferroviaire,2025-11-26 12:00:25,37,2.03
VA-2024-001,Zone Industrielle,Stade Olympique,2025-11-26 21:08:25,12,1.83
VA-2024-001,Sousse Nord,Zone Industrielle,2025-11-26 22:02:25,19,4.05
VA-2024-001,Stade Olympique,Campus Universitaire,2025-11-26 15:29:25,15,0.77
VA-2024-001,Quartier Khezama,Corniche,2025-11-26 16:17:25,14,2.09
VA-2024-001,Place Farhat Hached,Hôpital Universitaire,2025-11-26 06:55:25,18,1.75
VA-2024-001,Corniche,Médina,2025-11-26 06:19:25,10,1.1
VA-2024-001,Quartier Khezama,Aéroport Monastir,2025-11-26 20:55:25,37,0.48
VA-2024-001,Zone Industrielle,Campus Universitaire,2025-11-26 08:19:25,42,0.88
VA-2024-001,Médina,Sousse Nord,2025-11-27 14:19:25,38,2.75
VA-2024-001,Place Farhat Hached,Stade Olympique,2025-11-27 06:35:25,22,3.39
VA-2024-001,Médina,Stade Olympique,2025-11-27 13:02:25,26,1.68
VA-2024-001,Médina,Aéroport Monastir,2025-11-27 09:43:25,31,3.53
VA-2024-001,Place Farhat Hached,Aéroport Monastir,2025-11-27 06:04:25,33,2.04
VA-2024-001,Port de Sousse,Sousse Nord,2025-11-27 19:53:25,27,0.81
VA-2024-001,Quartier Khezama,Médina,2025-11-27 06:48:25,27,0.59
VA-2024-001,Sousse Sud,Aéroport Monastir,2025-11-27 18:35:25,41,0.82
VA-2024-001,Sousse Sud,Centre Ville,2025-11-27 11:55:25,29,0.95
VA-2024-001,Place Farhat Hached,Gare Ferroviaire,2025-11-27 15:56:25,34,2.89
VA-2024-001,Quartier Khezama,Port de Sousse,2025-11-28 14:54:25,10,2.73
VA-2024-001,Sousse Nord,Zone Industrielle,2025-11-28 20:10:25,12,1.11
VA-2024-001,Centre Ville,Zone Industrielle,2025-11-28 06:35:25,22,2.48
VA-2024-001,Quartier Khezama,Sousse Sud,2025-11-28 17:05:25,11,3.12
VA-2024-001,Stade Olympique,Campus Universitaire,2025-11-28 13:54:25,26,3.02
VA-2024-001,Sousse Nord,Sousse Sud,2025-11-28 13:06:25,31,2.53
VA-2024-001,Centre Ville,Sousse Sud,2025-11-28 12:38:25,28,1.83
VA-2024-001,Corniche,Sousse Nord,2025-11-28 17:56:25,15,1.43
VA-2024-001,Place Farhat Hached,Sousse Nord,2025-11-29 21:37:25,20,1.59
VA-2024-001,Campus Universitaire,Centre Ville,2025-11-29 19:03:25,48,2.22
VA-2024-001,Corniche,Centre Ville,2025-11-29 09:44:25,33,2.68
VA-2024-001,Palais des Congrès,Hôpital Universitaire,2025-11-29 11:56:25,46,1.43
VA-2024-001,Aéroport Monastir,Palais des Congrès,2025-11-29 12:36:25,24,0.72
VA-2024-001,Campus Universitaire,Sousse Sud,2025-11-29 13:28:25,31,1.15
VA-2024-001,Zone Industrielle,Sousse Sud,2025-11-29 21:24:25,16,2.26
VA-2024-001,Gare Ferroviaire,Hôpital Universitaire,2025-11-29 09:19:25,49,3.42
VA-2024-001,Aéroport Monastir,Hôpital Universitaire,2025-11-29 14:34:25,39,0.46
VA-2024-001,Hôpital Universitaire,Zone Industrielle,2025-11-29 07:08:25,46,1.29
VA-2024-001,Centre Ville,Aéroport Monastir,2025-11-29 21:20:25,34,1.94
VA-2024-001,Stade Olympique,Corniche,2025-11-29 21:51:25,46,0.43
VA-2024-001,Palais des Congrès,Campus Universitaire,2025-11-30 20:29:25,39,2.02
VA-2024-001,Port de Sousse,Zone Industrielle,2025-11-30 13:52:25,25,2.61
VA-2024-001,Corniche,Sousse Nord,2025-11-30 15:40:25,45,0.81
VA-2024-001,Quartier Khezama,Place Farhat Hached,2025-11-30 06:28:25,22,2.45
VA-2024-001,Stade Olympique,Palais des Congrès,2025-11-30 10:26:25,38,0.95
VA-2024-001,Quartier Khezama,Zone Industrielle,2025-11-30 19:46:25,22,2.87
VA-2024-001,Palais des Congrès,Médina,2025-11-30 19:41:25,26,2.87
VA-2024-001,Aéroport Monastir,Gare Ferroviaire,2025-11-30 17:57:25,35,1.38
VA-2024-001,Médina,Zone Industrielle,2025-11-30 16:33:25,29,2.0
VA-2024-001,Corniche,Zone Industrielle,2025-11-30 08:20:25,38,0.93
VA-2024-001,Aéroport Monastir,Palais des Congrès,2025-11-30 21:40:25,33,1.02
VA-2024-001,Centre Ville,Stade Olympique,2025-12-01 11:55:25,29,0.95
VA-2024-001,Sousse Sud,Zone Industrielle,2025-12-01 14:57:25,16,3.37
VA-2024-001,Centre Ville,Corniche,2025-12-01 15:45:25,28,0.76
VA-2024-001,Corniche,Port de Sousse,2025-12-01 21:53:25,25,2.59
VA-2024-001,Médina,Quartier Khezama,2025-12-01 19:33:25,30,2.43
VA-2024-001,Campus Universitaire,Corniche,2025-12-01 10:58:25,29,3.41
VA-2024-001,Zone Industrielle,Sousse Sud,2025-12-01 18:49:25,10,2.91
VA-2024-001,Palais des Congrès,Centre Ville,2025-12-01 15:38:25,43,2.58
VA-2024-001,Sousse Nord,Stade Olympique,2025-12-01 13:25:25,42,0.86
VA-2024-001,Port de Sousse,Palais des Congrès,2025-12-01 07:24:25,24,0.32
VA-2024-001,Gare Ferroviaire,Sousse Sud,2025-12-02 19:15:25,49,0.59
VA-2024-001,Sousse Nord,Hôpital Universitaire,2025-12-02 19:54:25,48,0.39
VA-2024-001,Palais des Congrès,Médina,2025-12-02 13:58:25,21,1.41
VA-2024-001,Médina,Port de Sousse,2025-12-02 09:47:25,12,1.28
VA-2024-001,Palais des Congrès,Sousse Nord,2025-12-02 15:56:25,48,2.73
VA-2024-001,Médina,Place Farhat Hached,2025-12-02 08:59:25,47,2.14
VA-2024-001,Sousse Nord,Corniche,2025-12-02 12:22:25,46,0.4
VA-2024-001,Port de Sousse,Stade Olympique,2025-12-02 09:58:25,37,2.06
VA-2024-001,Centre Ville,Campus Universitaire,2025-12-02 21:54:25,34,1.32
VA-2024-001,Aéroport Monastir,Campus Universitaire,2025-12-02 10:16:25,20,0.59
VA-2024-001,Port de Sousse,Gare Ferroviaire,2025-12-03 15:50:25,35,0.76
VA-2024-001,Corniche,Sousse Sud,2025-12-03 22:12:25,48,2.4
VA-2024-001,Zone Industrielle,Sousse Nord,2025-12-03 12:10:25,20,3.17
VA-2024-001,Médina,Campus Universitaire,2025-12-03 16:04:25,50,1.82
VA-2024-001,Zone Industrielle,Quartier Khezama,2025-12-03 18:11:25,38,1.57
VA-2024-001,Gare Ferroviaire,Campus Universitaire,2025-12-03 10:19:25,38,1.5
VA-2024-001,Gare Ferroviaire,Médina,2025-12-03 19:54:25,45,3.59
VA-2024-001,Palais des Congrès,Hôpital Universitaire,2025-12-04 09:40:25,21,0.8
VA-2024-001,Place Farhat Hached,Stade Olympique,2025-12-04 07:14:25,10,1.23
VA-2024-001,Gare Ferroviaire,Zone Industrielle,2025-12-04 17:33:25,45,2.95
VA-2024-001,Port de Sousse,Place Farhat Hached,2025-12-04 15:11:25,49,1.02
VA-2024-001,Gare Ferroviaire,Quartier Khezama,2025-12-04 22:18:25,14,3.24
VA-2024-001,Corniche,Gare Ferroviaire,2025-12-04 15:39:25,19,1.51
VA-2024-001,Aéroport Monastir,Sousse Sud,2025-12-04 20:59:25,40,1.95
VA-2024-001,Gare Ferroviaire,Aéroport Monastir,2025-12-05 22:08:25,43,1.31
VA-2024-001,Hôpital Universitaire,Aéroport Monastir,2025-12-05 11:52:25,29,1.74
VA-2024-001,Port de Sousse,Hôpital Universitaire,2025-12-05 20:02:25,42,2.73
VA-2024-001,Zone Industrielle,Gare Ferroviaire,2025-12-05 08:09:25,25,2.75
VA-2024-001,Sousse Nord,Corniche,2025-12-05 13:58:25,32,0.87
VA-2024-001,Hôpital Universitaire,Gare Ferroviaire,2025-12-05 16:37:25,35,0.59
VA-2024-001,Aéroport Monastir,Campus Universitaire,2025-12-05 19:32:25,33,2.8
VA-2024-001,Aéroport Monastir,Palais des Congrès,2025-12-05 20:01:25,38,0.32
VA-2024-001,Palais des Congrès,Sousse Nord,2025-12-06 16:23:25,46,2.55
VA-2024-001,Quartier Khezama,Aéroport Monastir,2025-12-06 08:24:25,22,0.68
VA-2024-001,Gare Ferroviaire,Aéroport Monastir,2025-12-06 19:00:25,33,2.82
VA-2024-001,Zone Industrielle,Palais des Congrès,2025-12-06 22:16:25,47,2.28
VA-2024-001,Campus Universitaire,Place Farhat Hached,2025-12-06 14:32:25,11,3.03
VA-2024-001,Zone Industrielle,Médina,2025-12-06 16:43:25,15,1.7
VA-2024-001,Corniche,Palais des Congrès,2025-12-07 07:39:25,33,2.37
VA-2024-001,Médina,Gare Ferroviaire,2025-12-07 08:34:25,15,1.55
VA-2024-001,Médina,Zone Industrielle,2025-12-07 11:44:25,13,0.66
VA-2024-001,Zone Industrielle,Centre Ville,2025-12-07 13:40:25,39,2.24
VA-2024-001,Sousse Sud,Sousse Nord,2025-12-07 17:26:25,38,3.53
VA-2024-001,Corniche,Gare Ferroviaire,2025-12-07 19:20:25,21,1.69
VA-2024-001,Port de Sousse,Corniche,2025-12-08 13:22:25,20,0.69
VA-2024-001,Sousse Sud,Hôpital Universitaire,2025-12-08 06:21:25,43,0.66
VA-2024-001,Stade Olympique,Hôpital Universitaire,2025-12-08 10:57:25,23,1.56
VA-2024-001,Campus Universitaire,Centre Ville,2025-12-08 08:09:25,32,3.32
VA-2024-001,Médina,Aéroport Monastir,2025-12-08 06:45:25,37,2.28
VA-2024-001,Aéroport Monastir,Port de Sousse,2025-12-08 22:04:25,20,0.24
VA-2024-001,Place Farhat Hached,Palais des Congrès,2025-12-08 12:31:25,42,2.76
VA-2024-001,Médina,Zone Industrielle,2025-12-08 06:11:25,41,3.82
VA-2024-001,Médina,Hôpital Universitaire,2025-12-09 20:28:25,15,3.16
VA-2024-001,Zone Industrielle,Sousse Sud,2025-12-09 15:53:25,50,1.21
VA-2024-001,Stade Olympique,Gare Ferroviaire,2025-12-09 06:02:25,21,1.67
VA-2024-001,Quartier Khezama,Place Farhat Hached,2025-12-09 14:07:25,29,3.52
VA-2024-001,Campus Universitaire,Quartier Khezama,2025-12-09 19:35:25,26,3.17
VA-2024-001,Port de Sousse,Zone Industrielle,2025-12-10 20:13:25,36,0.93
VA-2024-001,Médina,Quartier Khezama,2025-12-10 13:23:25,34,2.25
VA-2024-001,Zone Industrielle,Médina,2025-12-10 21:41:25,28,2.78
VA-2024-001,Médina,Campus Universitaire,2025-12-10 17:47:25,14,2.1
VA-2024-001,Port de Sousse,Corniche,2025-12-10 10:01:25,39,0.29
VA-2024-001,Gare Ferroviaire,Sousse Sud,2025-12-11 17:02:25,41,3.19
VA-2024-001,Sousse Sud,Centre Ville,2025-12-11 12:15:25,15,3.44
VA-2024-001,Centre Ville,Sousse Sud,2025-12-11 14:28:25,17,0.81
VA-2024-001,Centre Ville,Hôpital Universitaire,2025-12-11 16:52:25,14,2.64
VA-2024-001,Corniche,Quartier Khezama,2025-12-11 10:38:25,12,1.28
VA-2024-001,Hôpital Universitaire,Place Farhat Hached,2025-12-11 10:26:25,19,1.16
VA-2024-001,Sousse Nord,Stade Olympique,2025-12-11 09:43:25,30,1.23
VA-2024-001,Centre Ville,Port de Sousse,2025-12-12 21:51:25,38,2.66
VA-2024-001,Centre Ville,Sousse Sud,2025-12-12 14:01:25,33,2.02
VA-2024-001,Sousse Sud,Médina,2025-12-12 19:16:25,49,1.92
VA-2024-001,Port de Sousse,Quartier Khezama,2025-12-12 06:51:25,48,1.75
VA-2024-001,Aéroport Monastir,Corniche,2025-12-12 17:29:25,44,0.7
VA-2024-001,Palais des Congrès,Corniche,2025-12-12 15:50:25,38,1.86
VA-2024-001,Campus Universitaire,Corniche,2025-12-13 21:31:25,14,2.7
VA-2024-001,Palais des Congrès,Zone Industrielle,2025-12-13 09:13:25,42,0.53
VA-2024-001,Hôpital Universitaire,Stade Olympique,2025-12-13 18:41:25,32,2.03
VA-2024-001,Quartier Khezama,Corniche,2025-12-13 17:35:25,45,1.42
VA-2024-001,Zone Industrielle,Centre Ville,2025-12-13 08:03:25,31,2.92
VA-2024-001,Sousse Nord,Médina,2025-12-13 07:50:25,33,2.47
VA-2024-001,Corniche,Médina,2025-12-13 20:21:25,35,2.27
VA-2024-001,Palais des Congrès,Hôpital Universitaire,2025-12-13 12:39:25,17,3.32
VA-2024-001,Aéroport Monastir,Gare Ferroviaire,2025-12-13 16:51:25,40,2.57
VA-2024-002,Hôpital Universitaire,Quartier Khezama,2025-11-13 10:42:25,10,1.44
VA-2024-002,Zone Industrielle,Sousse Nord,2025-11-13 21:03:25,45,2.14
VA-2024-002,Palais des Congrès,Hôpital Universitaire,2025-11-13 12:39:25,46,0.37
VA-2024-002,Gare Ferroviaire,Campus Universitaire,2025-11-13 18:59:25,50,3.43
VA-2024-002,Hôpital Universitaire,Place Farhat Hached,2025-11-13 16:15:25,46,0.54
VA-2024-002,Centre Ville,Hôpital Universitaire,2025-11-14 12:43:25,10,2.12
VA-2024-002,Sousse Sud,Centre Ville,2025-11-14 20:20:25,16,3.54
VA-2024-002,Place Farhat Hached,Corniche,2025-11-14 17:06:25,36,4.06
VA-2024-002,Centre Ville,Campus Universitaire,2025-11-14 07:41:25,33,3.23
VA-2024-002,Place Farhat Hached,Hôpital Universitaire,2025-11-14 13:38:25,13,2.93
VA-2024-002,Sousse Sud,Stade Olympique,2025-11-14 14:54:25,26,2.85
VA-2024-002,Corniche,Zone Industrielle,2025-11-15 14:39:25,29,1.28
VA-2024-002,Centre Ville,Place Farhat Hached,2025-11-15 16:42:25,13,2.57
VA-2024-002,Quartier Khezama,Hôpital Universitaire,2025-11-15 14:13:25,28,1.58
VA-2024-002,Aéroport Monastir,Médina,2025-11-15 14:21:25,10,2.42
VA-2024-002,Hôpital Universitaire,Sousse Sud,2025-11-15 18:30:25,42,3.12
VA-2024-002,Centre Ville,Zone Industrielle,2025-11-15 08:23:25,45,2.8
VA-2024-002,Sousse Sud,Aéroport Monastir,2025-11-15 06:39:25,14,1.35
VA-2024-002,Palais des Congrès,Médina,2025-11-15 18:24:25,25,0.91
VA-2024-002,Corniche,Place Farhat Hached,2025-11-15 14:15:25,45,1.36
VA-2024-002,Stade Olympique,Place Farhat Hached,2025-11-15 20:46:25,10,0.54
VA-2024-002,Port de Sousse,Sousse Sud,2025-11-16 09:02:25,24,3.48
VA-2024-002,Campus Universitaire,Centre Ville,2025-11-16 20:14:25,41,3.41
VA-2024-002,Corniche,Gare Ferroviaire,2025-11-16 08:46:25,33,0.64
VA-2024-002,Centre Ville,Campus Universitaire,2025-11-16 22:15:25,48,3.3
VA-2024-002,Campus Universitaire,Centre Ville,2025-11-16 15:07:25,42,1.38
VA-2024-002,Stade Olympique,Quartier Khezama,2025-11-16 21:44:25,43,0.74
VA-2024-002,Port de Sousse,Zone Industrielle,2025-11-16 08:25:25,34,2.87
VA-2024-002,Campus Universitaire,Corniche,2025-11-16 19:26:25,34,1.37
VA-2024-002,Corniche,Sousse Nord,2025-11-16 20:10:25,41,3.68
VA-2024-002,Médina,Quartier Khezama,2025-11-16 20:17:25,29,2.93
VA-2024-002,Campus Universitaire,Gare Ferroviaire,2025-11-16 08:56:25,24,3.19
VA-2024-002,Gare Ferroviaire,Quartier Khezama,2025-11-16 22:19:25,16,1.22
VA-2024-002,Quartier Khezama,Hôpital Universitaire,2025-11-17 10:17:25,29,3.26
VA-2024-002,Place Farhat Hached,Port de Sousse,2025-11-17 20:37:25,10,0.66
VA-2024-002,Port de Sousse,Médina,2025-11-17 08:48:25,12,2.95
VA-2024-002,Port de Sousse,Sousse Nord,2025-11-17 14:40:25,27,2.84
VA-2024-002,Sousse Sud,Sousse Nord,2025-11-17 06:56:25,24,2.51
VA-2024-002,Place Farhat Hached,Corniche,2025-11-17 21:10:25,44,3.78
VA-2024-002,Port de Sousse,Zone Industrielle,2025-11-17 17:59:25,16,0.76
VA-2024-002,Zone Industrielle,Aéroport Monastir,2025-11-17 06:09:25,23,3.53
VA-2024-002,Zone Industrielle,Quartier Khezama,2025-11-17 14:49:25,28,2.63
VA-2024-002,Gare Ferroviaire,Quartier Khezama,2025-11-17 09:40:25,31,2.89
VA-2024-002,Corniche,Campus Universitaire,2025-11-18 15:08:25,23,2.6
VA-2024-002,Quartier Khezama,Port de Sousse,2025-11-18 19:57:25,24,4.03
VA-2024-002,Aéroport Monastir,Palais des Congrès,2025-11-18 12:09:25,27,0.52
VA-2024-002,Aéroport Monastir,Centre Ville,2025-11-18 08:14:25,25,1.27
VA-2024-002,Aéroport Monastir,Sousse Nord,2025-11-18 10:57:25,37,2.69
VA-2024-002,Sousse Sud,Zone Industrielle,2025-11-18 15:19:25,47,3.27
VA-2024-002,Centre Ville,Stade Olympique,2025-11-18 12:41:25,13,2.18
VA-2024-002,Port de Sousse,Corniche,2025-11-18 12:56:25,22,3.44
VA-2024-002,Médina,Aéroport Monastir,2025-11-18 13:50:25,27,0.84
VA-2024-002,Palais des Congrès,Médina,2025-11-18 18:52:25,39,2.36
VA-2024-002,Port de Sousse,Sousse Sud,2025-11-18 19:39:25,24,1.52
VA-2024-002,Corniche,Sousse Nord,2025-11-19 20:30:25,47,0.62
VA-2024-002,Corniche,Place Farhat Hached,2025-11-19 18:13:25,44,2.53
VA-2024-002,Sousse Nord,Port de Sousse,2025-11-19 19:04:25,16,2.68
VA-2024-002,Centre Ville,Zone Industrielle,2025-11-19 08:12:25,29,2.38
VA-2024-002,Place Farhat Hached,Sousse Sud,2025-11-19 12:25:25,45,2.67
VA-2024-002,Aéroport Monastir,Stade Olympique,2025-11-19 14:38:25,46,2.07
VA-2024-002,Hôpital Universitaire,Stade Olympique,2025-11-20 15:07:25,30,3.86
VA-2024-002,Campus Universitaire,Hôpital Universitaire,2025-11-20 16:47:25,31,2.31
VA-2024-002,Sousse Sud,Place Farhat Hached,2025-11-20 13:36:25,22,1.14
